"place_id","name","latitude","longitude","people","fieldtrips__fieldtrip_id____001","fieldtrips__fieldtrip_id____002","fieldtrips__fieldtrip_id____003","fieldtrips__fieldtrip_id____004","fieldtrips__fieldtrip_id____005","fieldtrips__fieldtrip_id____006","fieldtrips__fieldtrip_id____007","people__person__person_id","people__person__relationship","people__person__full_name","people__person__last_name","people__person__first_name","people__person__gender","people__person__core_informant","people__person__image","people__person__url","people__person__residence_place","people__person__residence_place__place_id","people__person__residence_place__name","fieldtrips","fieldtrips__fieldtrip_id"
"1060","Besser kirke","55.8633","10.6414","null","","","","","","","","","","","","","","","","","","","","null",""
"751","Billum","55.616","8.33131","","","","","","","","","336","told stories here","Simon Bojsen","Bojsen","Simon","N/A","null","","data/informants/336.dfl","","751","Billum","null",""
"53","Bilsbæk","55.9294","10.1107","null","","","","","","","","","","","","","","","","","","","","null",""
"54","Bindslev","57.5347","10.172","null","","","","","","","","","","","","","","","","","","","","","8"
"1025","Birkelse","57.1669","9.74795","null","","","","","","","","","","","","","","","","","","","","null",""
"1030","Birkendegård","55.6737","11.2073","null","","","","","","","","","","","","","","","","","","","","null",""
"55","Bislev","56.9495","9.6156","null","","","","","","","","","","","","","","","","","","","","null",""
"1022","Bjarlev","55.8085","9.4295","null","","","","","","","","","","","","","","","","","","","","null",""
"59","Bjedstrup","56.0663","9.85405","","","","","","","","","189","told stories here","A. J. Meldgaard","Meldgaard","A. J.","m","null","","data/informants/189.dfl","","59","Bjedstrup","","2"
"60","Bjerre","55.787","9.84788","null","","","","","","","","","","","","","","","","","","","","null",""
"752","Bjærgby","56.8683","8.73114","","","","","","","","","464","told stories here","Marianne Madsdatter","Madsdatter","Marianne","N/A","null","","data/informants/464.dfl","","752","Bjærgby","null",""
"56","Bjærgby","57.5171","10.0454","null","","","","","","","","","","","","","","","","","","","","","11"
"57","Bjærge","55.7847","9.85819","null","","","","","","","","","","","","","","","","","","","","","9"
"58","Bjærggrav","56.4904","9.89689","","","","","","","","","498","told stories here","Morten Nielsen","Nielsen","Morten","N/A","null","","data/informants/498.dfl","","58","Bjærggrav","","5"
"61","Blanke","55.4985","9.87607","null","","","","","","","","","","","","","","","","","","","","null",""
"62","Blegind","56.0699","10.0732","","","","","","","","","513","told stories here","Lærer Johannes Grønbæk Pedersen","Pedersen","Johannes Grønbæk","N/A","null","","data/informants/513.dfl","","62","Blegind","null",""
"753","Bode","56.478","10.3058","","","","","","","","","357","told stories here","Rasmus Dyrholm","Dyrholm","Rasmus","N/A","null","","data/informants/357.dfl","","753","Bode","null",""
"63","Bodholm","56.359","10.1304","","","","","","","","","235","lived here","Kirsten Marie Pedersdatter","Pedersdatter","Kirsten Marie","f","1","data/informants/235.jpg","data/informants/235.dfl","","280","Hornslet mark","null",""
"66","Boelshøj","56.6995","10.1407","null","","","","","","","","","","","","","","","","","","","","null",""
"67","Boes","56.0545","9.79954","null","","","","","","","","","","","","","","","","","","","","null",""
"68","Bogensholm","56.2107","10.5646","null","","","","","","","","","","","","","","","","","","","","null",""
"981","Bogø","54.9275","12.0411","null","","","","","","","","","","","","","","","","","","","","null",""
"70","Bolle","57.1379","10.2548","null","","","","","","","","","","","","","","","","","","","","","11"
"71","Boller","57.3861","10.0963","null","","","","","","","","","","","","","","","","","","","","null",""
"75","Boring","55.8694","9.59906","null","","","","","","","","","","","","","","","","","","","","","9"
"76","Bornholm","55.1016","14.7062","null","","","","","","","","","","","","","","","","","","","","null",""
"77","Borre","54.9979","12.451","","","","","","","","","322","told stories here","Kirsten Andersdatter","Andersdatter","Kirsten","N/A","null","","data/informants/322.dfl","","77","Borre","null",""
"","","","","","","","","","","","","380","told stories here","Lærer N. E. Hansen","Hansen","N. E.","N/A","null","","data/informants/380.dfl","","77","Borre","",""
"1014","Borup","55.8793","9.19197","null","","","","","","","","","","","","","","","","","","","","null",""
"78","Borup","57.4013","10.087","null","","","","","","","","","","","","","","","","","","","","null",""
"79","Borup mark","57.4005","10.0793","","","","","","","","","241","lived here","Jens Peter Pedersen","Pedersen","Jens Peter","m","1","data/informants/241.jpg","data/informants/241.dfl","","306","Ilbjærge","null",""
"80","Boslunde","55.3028","11.2721","null","","","","","","","","","","","","","","","","","","","","null",""
"756","Bovlstrup","55.9424","10.2197","","","","","","","","","329","told stories here","Lærerinde Ane Birgitte Berg","Berg","Ane Birgitte","N/A","null","","data/informants/329.dfl","","756","Bovlstrup","null",""
"81","Brabrand","56.16","10.1095","null","","","","","","","","","","","","","","","","","","","","null",""
